
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0.2,0.1,1.8,2.5,1.1,0.0,0.0,0.0,0.0,0.0,0.2,0.4,6.4
최근 10년,0.3,0.3,1.7,0.8,1.6,0.0,0.0,0.0,0.0,0.1,0.9,0.3,6.0
최근  5년,0.1,0.5,1.2,1.4,1.2,0.0,0.0,0.0,0.0,0.2,1.0,0.0,5.7
1973,0.0,0.0,0.4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,3.5,31
1974,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,44
1975,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,34
1976,0.0,0.0,1.2,3.5,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7.4,16
1977,0.0,3.0,3.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,20
1978,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,42
1979,0.0,0.0,0.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,28
1980,0.0,0.0,0.0,1.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,30
1981,0.0,0.1,0.7,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,12
1982,0.0,0.0,0.0,0.1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.9,24
1983,0.0,0.0,0.0,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,40
1984,0.0,0.1,1.9,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,29
1985,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,38
1986,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,46
1987,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,45
1988,0.0,0.0,0.0,7.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,14
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
1990,0.0,0.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,27
1991,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.2,0.3,5.6,22
1992,0.0,0.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,32
1993,0.0,0.0,0.0,9.3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,3
1994,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,43
1995,0.0,0.0,0.7,6.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,17
